Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm)
14/04/2021;0;18,8;79;1007,5;1,3;140;0;6,9;28,2;;
14/04/2021;1200;17,8;86;1006,2;2,1;140;5;;;15,2;0
14/04/2021;1800;28,2;55;1002,8;2,6;140;7;;;;
15/04/2021;0;22;88;1004,5;1,3;180;10;0;22;;
15/04/2021;1200;18;94;1005,8;0,8;230;10;;;17,8;0,2
15/04/2021;1800;19,4;98;1003,4;1,6;90;10;;;;
16/04/2021;0;18,6;98;1002,8;1;140;10;1,3;26;;
16/04/2021;1200;17,6;100;1003,8;0;0;10;;;15,6;1,9
16/04/2021;1800;25,8;68;1001,6;1,3;320;8;;;;
17/04/2021;0;21,2;91;1002,2;0;0;0;7,7;27,6;;
17/04/2021;1200;18,6;100;1005,2;1,3;50;10;;;16,8;0
17/04/2021;1800;27,4;59;1003;2,6;80;8;;;;
18/04/2021;0;22,2;75;1003,9;1,6;140;4;8,7;27,6;;
18/04/2021;1200;19;94;1007,4;2,5;140;8;;;17,2;0
18/04/2021;1800;26,6;56;1004,4;3,3;140;6;;;;
19/04/2021;0;22,2;68;1005,2;3,5;180;0;9,7;26,2;;
19/04/2021;1200;17,6;90;1009,9;3;140;2;;;14,4;0
19/04/2021;1800;25,8;51;1006,8;3,8;140;1;;;;
20/04/2021;0;19,6;76;1007,6;1;140;0;8,9;26;;
20/04/2021;1200;17,2;96;1009,5;3,3;140;9;;;14;0
20/04/2021;1800;25,6;55;1006,6;3,8;140;2;;;;
21/04/2021;0;19,6;70;1007,4;1,8;140;0;9,8;27,6;;
21/04/2021;1200;18,8;98;1008,2;2,5;140;0;;;15;0
21/04/2021;1800;27,4;52;1005,1;3,3;140;2;;;;
22/04/2021;0;20,8;77;1006,2;3,3;140;0;10;27,8;;
22/04/2021;1200;19;84;1006,6;1,6;140;4;;;16,2;0
22/04/2021;1800;27,6;48;1002,3;2,8;140;2;;;;
23/04/2021;0;20,2;66;1004,3;2;140;0;8,8;30;;
23/04/2021;1200;17;92;1006,3;1,6;140;3;;;14,4;0
23/04/2021;1800;29,6;35;1001,8;2,5;180;2;;;;
24/04/2021;0;21;67;1002,8;1;180;0;0,1;21,2;;
24/04/2021;1200;17,2;92;1003,9;1,3;270;10;;;14,4;0
24/04/2021;1800;18,8;96;1000,7;1,3;90;10;;;;
25/04/2021;0;17,8;98;1003;0;0;7;2,9;23,2;;
25/04/2021;1200;18;96;1004,3;1,3;270;10;;;15;5,7
25/04/2021;1800;22,4;63;1002,3;2;230;7;;;;
26/04/2021;0;15;87;1005,5;0;0;1;9,6;21,8;;
26/04/2021;1200;14,6;82;1007,2;1,3;270;2;;;10;0,2
26/04/2021;1800;21,8;51;1004,7;1,3;270;4;;;;
27/04/2021;0;13,2;96;1005,9;0;0;0;9,8;22;;
27/04/2021;1200;11,8;98;1008,6;0;0;0;;;7,4;0
27/04/2021;1800;21,4;47;1006;2,5;230;2;;;;
28/04/2021;0;12,8;88;1007;0;0;0;9,7;22,2;;
28/04/2021;1200;10,8;100;1010,3;0,5;320;0;;;6,6;0
28/04/2021;1800;21,2;51;1008,8;2;140;0;;;;
29/04/2021;0;12,2;91;1010,3;0;0;0;9,6;23,8;;
29/04/2021;1200;11,2;100;1013;1,3;50;4;;;6,2;0
29/04/2021;1800;23,2;52;1010,6;2;140;0;;;;
30/04/2021;0;15,6;83;1010,8;1,5;140;0;9;28;;
30/04/2021;1200;12,6;100;1011,2;0,5;90;3;;;10;0
